matchId,scrapeDate
NA1_4664296946,2024-02-13
NA1_4664262413,2024-02-13
NA1_4664237606,2024-02-13
NA1_4662244805,2024-02-13
NA1_4662214098,2024-02-13
NA1_4662194095,2024-02-13
NA1_4662169440,2024-02-13
NA1_4662152931,2024-02-13
NA1_4658801184,2024-02-13
NA1_4658780684,2024-02-13
NA1_4658763638,2024-02-13
NA1_4658755820,2024-02-13
NA1_4658734133,2024-02-13
NA1_4658713880,2024-02-13
NA1_4656239154,2024-02-13
NA1_4656212698,2024-02-13
NA1_4656178721,2024-02-13
NA1_4656154592,2024-02-13
NA1_4656132871,2024-02-13
NA1_4656093690,2024-02-13
NA1_4651945187,2024-02-13
NA1_4651926348,2024-02-13
NA1_4651904521,2024-02-13
NA1_4651893035,2024-02-13
NA1_4651859291,2024-02-13
NA1_4651839142,2024-02-13
NA1_4651819736,2024-02-13
NA1_4651790892,2024-02-13
NA1_4640708514,2024-02-13
NA1_4640699024,2024-02-13
NA1_4640680948,2024-02-13
NA1_4640648641,2024-02-13
NA1_4640642190,2024-02-13
NA1_4639926342,2024-02-13
NA1_4639914869,2024-02-13
NA1_4639894786,2024-02-13
NA1_4639869046,2024-02-13
NA1_4639842998,2024-02-13
NA1_4639815298,2024-02-13
NA1_4639790532,2024-02-13
NA1_4994581508,2024-05-10
NA1_4994568907,2024-05-10
NA1_4994553118,2024-05-10
NA1_4994540972,2024-05-10
NA1_4994518427,2024-05-10
NA1_4994503553,2024-05-10
NA1_4994487938,2024-05-10
NA1_4991824568,2024-05-10
NA1_4991798306,2024-05-10
NA1_4991783739,2024-05-10
NA1_4991764542,2024-05-10
NA1_4990251991,2024-05-10
NA1_4990237864,2024-05-10
NA1_4990211059,2024-05-10
NA1_4990195754,2024-05-10
NA1_4990168650,2024-05-10
NA1_4988787679,2024-05-10
NA1_4988766360,2024-05-10
NA1_4988750894,2024-05-10
NA1_4988720558,2024-05-10
NA1_4988694391,2024-05-10
NA1_4988681423,2024-05-10
NA1_4987143909,2024-05-10
NA1_4987077283,2024-05-10
NA1_4987060759,2024-05-10
NA1_4987032275,2024-05-10
NA1_4983512228,2024-05-10
NA1_4983491777,2024-05-10
NA1_4983469773,2024-05-10
NA1_4983444981,2024-05-10
NA1_4983415993,2024-05-10
NA1_4983394185,2024-05-10
NA1_4983368430,2024-05-10
NA1_4981070398,2024-05-10
NA1_4981056459,2024-05-10
NA1_4981039439,2024-05-10
NA1_4637127415,2024-05-10
NA1_4637112921,2024-05-10
NA1_4637081202,2024-05-10
NA1_4637057693,2024-05-10
NA1_4637036152,2024-05-10
NA1_4637005411,2024-05-10
NA1_4630996788,2024-05-10
NA1_4630963706,2024-05-10
NA1_4630929689,2024-05-10
NA1_4630832256,2024-05-10
NA1_4630801394,2024-05-10
NA1_4630791134,2024-05-10
NA1_4630776051,2024-05-10
NA1_4628547878,2024-05-10
NA1_4628516730,2024-05-10
NA1_4628502196,2024-05-10
NA1_4628478746,2024-05-10
NA1_4628455771,2024-05-10
NA1_4627501356,2024-05-10
NA1_4627481839,2024-05-10
NA1_4626918069,2024-05-10
NA1_4626886549,2024-05-10
NA1_4626878754,2024-05-10
NA1_4626847448,2024-05-10
NA1_5035750286,2024-07-08
NA1_5035738777,2024-07-08
NA1_5035720241,2024-07-08
NA1_5035706781,2024-07-08
NA1_5035679729,2024-07-08
NA1_5035672747,2024-07-08
NA1_5035648637,2024-07-08
NA1_5023585499,2024-07-08
NA1_5023571146,2024-07-08
NA1_5022269483,2024-07-08
NA1_5022244561,2024-07-08
NA1_5022231141,2024-07-08
NA1_5022213958,2024-07-08
