matchId,scrapeDate
NA1_4915838478,2024-02-13
NA1_4915814733,2024-02-13
NA1_4915792549,2024-02-13
NA1_4915776756,2024-02-13
NA1_4915738211,2024-02-13
NA1_4915711980,2024-02-13
NA1_4915666253,2024-02-13
NA1_4901759987,2024-02-13
NA1_4901736362,2024-02-13
NA1_4901710921,2024-02-13
NA1_4901683175,2024-02-13
NA1_4901657488,2024-02-13
NA1_4901602673,2024-02-13
NA1_4901593413,2024-02-13
NA1_4901066790,2024-02-13
NA1_4901043763,2024-02-13
NA1_4900123962,2024-02-13
NA1_4900100429,2024-02-13
NA1_4900083985,2024-02-13
NA1_4900052196,2024-02-13
NA1_4900028879,2024-02-13
NA1_4898848743,2024-02-13
NA1_4898581962,2024-02-13
NA1_4896902733,2024-02-13
NA1_4896881286,2024-02-13
NA1_4896833550,2024-02-13
NA1_4896807301,2024-02-13
NA1_4896775302,2024-02-13
NA1_4896714269,2024-02-13
NA1_4895988376,2024-02-13
NA1_4895979088,2024-02-13
NA1_4895960940,2024-02-13
NA1_4895934623,2024-02-13
NA1_4895914651,2024-02-13
NA1_4895900043,2024-02-13
NA1_4895809889,2024-02-13
NA1_4895765693,2024-02-13
NA1_4895474890,2024-02-13
NA1_4894962448,2024-02-13
NA1_4894935736,2024-02-13
NA1_4894650035,2024-02-13
NA1_4893575303,2024-02-13
NA1_4892500301,2024-02-13
NA1_4892180838,2024-02-13
NA1_4891951120,2024-02-13
NA1_4891478443,2024-02-13
NA1_4891354761,2024-02-13
NA1_4891245418,2024-02-13
NA1_4891215500,2024-02-13
NA1_4891060161,2024-02-13
NA1_4890808314,2024-02-13
NA1_4890783821,2024-02-13
NA1_4890286243,2024-02-13
NA1_4890271762,2024-02-13
NA1_4890249108,2024-02-13
NA1_4889861350,2024-02-13
NA1_4889832865,2024-02-13
NA1_4889803006,2024-02-13
NA1_4889772145,2024-02-13
NA1_4889541699,2024-02-13
NA1_4889125330,2024-02-13
NA1_4889115039,2024-02-13
NA1_4889103785,2024-02-13
NA1_4889067184,2024-02-13
NA1_4889051989,2024-02-13
NA1_4889026541,2024-02-13
NA1_4889006590,2024-02-13
NA1_4888976444,2024-02-13
NA1_4888874071,2024-02-13
NA1_4888627984,2024-02-13
NA1_4888592011,2024-02-13
NA1_4888564958,2024-02-13
NA1_4888539738,2024-02-13
NA1_4888465596,2024-02-13
NA1_4888446283,2024-02-13
NA1_4887926466,2024-02-13
NA1_4887914310,2024-02-13
NA1_4887894440,2024-02-13
NA1_4887851153,2024-02-13
NA1_4887827787,2024-02-13
NA1_4887797271,2024-02-13
NA1_4887768759,2024-02-13
NA1_4887736956,2024-02-13
NA1_4831296731,2024-02-13
NA1_4829627664,2024-02-13
NA1_4829383938,2024-02-13
NA1_4828814738,2024-02-13
NA1_4828421967,2024-02-13
NA1_4827717906,2024-02-13
NA1_4827690411,2024-02-13
NA1_4827524509,2024-02-13
NA1_4827455497,2024-02-13
NA1_4827438904,2024-02-13
NA1_4827252532,2024-02-13
NA1_4826969869,2024-02-13
NA1_4826951602,2024-02-13
NA1_4826532962,2024-02-13
NA1_4825937380,2024-02-13
NA1_4825474912,2024-02-13
NA1_4825451982,2024-02-13
NA1_4933423513,2024-02-27
NA1_4933385967,2024-02-27
NA1_4933298706,2024-02-27
NA1_4931912556,2024-02-27
NA1_4930123191,2024-02-27
NA1_4930108787,2024-02-27
NA1_4930087754,2024-02-27
NA1_4930069050,2024-02-27
NA1_4929286979,2024-02-27
NA1_4929266153,2024-02-27
NA1_4929243332,2024-02-27
NA1_4929223979,2024-02-27
NA1_4929199752,2024-02-27
NA1_4941006411,2024-03-10
NA1_4940991342,2024-03-10
NA1_4940971539,2024-03-10
NA1_4940955194,2024-03-10
NA1_4940927586,2024-03-10
NA1_4940915857,2024-03-10
NA1_4940893889,2024-03-10
NA1_4935214330,2024-03-10
NA1_4935071541,2024-03-10
NA1_4935051183,2024-03-10
NA1_4963276796,2024-04-13
NA1_4963248222,2024-04-13
NA1_4963221044,2024-04-13
NA1_4963199403,2024-04-13
NA1_4963178141,2024-04-13
NA1_4963161098,2024-04-13
NA1_4963146842,2024-04-13
NA1_4963127252,2024-04-13
NA1_4963108860,2024-04-13
NA1_4960640124,2024-04-13
NA1_4960608327,2024-04-13
NA1_4960576405,2024-04-13
NA1_4958657849,2024-04-13
NA1_4957758988,2024-04-13
NA1_4957739789,2024-04-13
NA1_4957714452,2024-04-13
NA1_4957686395,2024-04-13
NA1_4957660313,2024-04-13
NA1_4957640049,2024-04-13
NA1_4956872160,2024-04-13
NA1_4956858829,2024-04-13
NA1_4955015069,2024-04-13
NA1_4950959831,2024-04-13
NA1_4950467307,2024-04-13
NA1_4950449112,2024-04-13
NA1_4950426408,2024-04-13
NA1_4950415887,2024-04-13
NA1_4950395924,2024-04-13
NA1_4950373471,2024-04-13
NA1_4950347346,2024-04-13
NA1_4948923744,2024-04-13
NA1_4948894657,2024-04-13
NA1_4948522830,2024-04-13
NA1_4947249438,2024-04-13
NA1_4947238017,2024-04-13
NA1_4947209428,2024-04-13
NA1_4947193052,2024-04-13
NA1_4946903624,2024-04-13
NA1_4946886672,2024-04-13
NA1_4946879369,2024-04-13
NA1_4979670547,2024-04-22
NA1_4979232166,2024-04-22
NA1_4978894461,2024-04-22
NA1_4976557343,2024-04-22
NA1_4976542374,2024-04-22
NA1_4976520380,2024-04-22
NA1_4976499703,2024-04-22
NA1_4976482352,2024-04-22
NA1_4976469884,2024-04-22
NA1_4976431596,2024-04-22
NA1_4976407736,2024-04-22
NA1_4975904368,2024-04-22
NA1_4975896342,2024-04-22
NA1_4975885143,2024-04-22
NA1_4975033762,2024-04-22
NA1_4975013738,2024-04-22
NA1_4974984342,2024-04-22
NA1_4974968307,2024-04-22
