matchId,scrapeDate
NA1_4915838478,2024-02-13
NA1_4915814733,2024-02-13
NA1_4915792549,2024-02-13
NA1_4915776756,2024-02-13
NA1_4915738211,2024-02-13
NA1_4915711980,2024-02-13
NA1_4915666253,2024-02-13
NA1_4914822145,2024-02-13
NA1_4914803443,2024-02-13
NA1_4914788184,2024-02-13
NA1_4914763659,2024-02-13
NA1_4914745031,2024-02-13
NA1_4914718935,2024-02-13
NA1_4914688659,2024-02-13
NA1_4914672856,2024-02-13
NA1_4914649853,2024-02-13
NA1_4909690593,2024-02-13
NA1_4909677777,2024-02-13
NA1_4909652593,2024-02-13
NA1_4909642803,2024-02-13
NA1_4909625017,2024-02-13
NA1_4909604516,2024-02-13
NA1_4909118238,2024-02-13
NA1_4909093591,2024-02-13
NA1_4909076988,2024-02-13
NA1_4909057735,2024-02-13
NA1_4909030756,2024-02-13
NA1_4909006978,2024-02-13
NA1_4908982176,2024-02-13
NA1_4908947302,2024-02-13
NA1_4908925737,2024-02-13
NA1_4908891460,2024-02-13
NA1_4902812465,2024-02-13
NA1_4902793619,2024-02-13
NA1_4902779952,2024-02-13
NA1_4902757815,2024-02-13
NA1_4902733631,2024-02-13
NA1_4902713502,2024-02-13
NA1_4902692233,2024-02-13
NA1_4902657357,2024-02-13
NA1_4902634233,2024-02-13
NA1_4901995923,2024-02-13
NA1_4901976760,2024-02-13
NA1_4901956084,2024-02-13
NA1_4901934951,2024-02-13
NA1_4901911973,2024-02-13
NA1_4901893817,2024-02-13
NA1_4901867980,2024-02-13
NA1_4901846943,2024-02-13
NA1_4901824854,2024-02-13
NA1_4899244064,2024-02-13
NA1_4896964128,2024-02-13
NA1_4896942833,2024-02-13
NA1_4896907733,2024-02-13
NA1_4896887202,2024-02-13
NA1_4896852089,2024-02-13
NA1_4896808518,2024-02-13
NA1_4896785426,2024-02-13
NA1_4896748321,2024-02-13
NA1_4893774054,2024-02-13
NA1_4893746313,2024-02-13
NA1_4893712596,2024-02-13
NA1_4893683240,2024-02-13
NA1_4893655932,2024-02-13
NA1_4889008772,2024-02-13
NA1_4888980709,2024-02-13
NA1_4888955476,2024-02-13
NA1_4888921220,2024-02-13
NA1_4888894574,2024-02-13
NA1_4888874032,2024-02-13
NA1_4888837249,2024-02-13
NA1_4888802277,2024-02-13
NA1_4888770544,2024-02-13
NA1_4886734735,2024-02-13
NA1_4886714336,2024-02-13
NA1_4886699091,2024-02-13
NA1_4886676450,2024-02-13
NA1_4886660040,2024-02-13
NA1_4886632333,2024-02-13
NA1_4886611538,2024-02-13
NA1_4886577514,2024-02-13
NA1_4886552247,2024-02-13
NA1_4885794879,2024-02-13
NA1_4885767067,2024-02-13
NA1_4885748937,2024-02-13
NA1_4885714689,2024-02-13
NA1_4885687496,2024-02-13
NA1_4866720303,2024-02-13
NA1_4866695417,2024-02-13
NA1_4866662940,2024-02-13
NA1_4866633309,2024-02-13
NA1_4866610463,2024-02-13
NA1_4866577995,2024-02-13
NA1_4866553095,2024-02-13
NA1_4858536916,2024-02-13
NA1_4858501138,2024-02-13
NA1_4858470342,2024-02-13
NA1_4858453831,2024-02-13
NA1_4858415561,2024-02-13
NA1_4858396340,2024-02-13
NA1_4923570929,2024-02-19
NA1_4923540555,2024-02-19
NA1_4923517472,2024-02-19
NA1_4923497156,2024-02-19
NA1_4923468242,2024-02-19
NA1_4923451095,2024-02-19
NA1_4923419598,2024-02-19
NA1_4923405006,2024-02-19
NA1_4923373209,2024-02-19
NA1_4930123191,2024-02-27
NA1_4930108787,2024-02-27
NA1_4930087754,2024-02-27
NA1_4930069050,2024-02-27
NA1_4930039220,2024-02-27
NA1_4929989348,2024-02-27
NA1_4929286979,2024-02-27
NA1_4929266153,2024-02-27
NA1_4929243332,2024-02-27
NA1_4929223979,2024-02-27
NA1_4929199752,2024-02-27
NA1_4929179959,2024-02-27
NA1_4941006411,2024-03-10
NA1_4940991342,2024-03-10
NA1_4940971539,2024-03-10
NA1_4940955194,2024-03-10
NA1_4940927586,2024-03-10
NA1_4940915857,2024-03-10
NA1_4940893889,2024-03-10
NA1_4939485946,2024-03-10
NA1_4939471296,2024-03-10
NA1_4939452373,2024-03-10
NA1_4939440931,2024-03-10
NA1_4939412364,2024-03-10
NA1_4939388615,2024-03-10
NA1_4939364588,2024-03-10
NA1_4963276796,2024-04-13
NA1_4963248222,2024-04-13
NA1_4963221044,2024-04-13
NA1_4963199403,2024-04-13
NA1_4963178141,2024-04-13
NA1_4963161098,2024-04-13
NA1_4963146842,2024-04-13
NA1_4963127252,2024-04-13
NA1_4963108860,2024-04-13
NA1_4960640124,2024-04-13
NA1_4960608327,2024-04-13
NA1_4960576405,2024-04-13
NA1_4959543137,2024-04-13
NA1_4959522783,2024-04-13
NA1_4959498809,2024-04-13
NA1_4959470598,2024-04-13
NA1_4959452029,2024-04-13
NA1_4959424304,2024-04-13
NA1_4959386757,2024-04-13
NA1_4957758988,2024-04-13
NA1_4957739789,2024-04-13
NA1_4957714452,2024-04-13
NA1_4957686395,2024-04-13
NA1_4957660313,2024-04-13
NA1_4957640049,2024-04-13
NA1_4957616156,2024-04-13
NA1_4950467307,2024-04-13
NA1_4950449112,2024-04-13
NA1_4950426408,2024-04-13
NA1_4950415887,2024-04-13
NA1_4950395924,2024-04-13
NA1_4950373471,2024-04-13
NA1_4950347346,2024-04-13
NA1_4947289317,2024-04-13
NA1_4947265589,2024-04-13
NA1_4947249438,2024-04-13
NA1_4947238017,2024-04-13
NA1_4947209428,2024-04-13
NA1_4947193052,2024-04-13
NA1_4947172557,2024-04-13
NA1_4976557343,2024-04-22
NA1_4976542374,2024-04-22
NA1_4976520380,2024-04-22
NA1_4976499703,2024-04-22
NA1_4976482352,2024-04-22
NA1_4976469884,2024-04-22
